epoch,train_psnr,test_psnr,train_loss
1,-159.26970637169114,-159.32333151909364,16.96334556490183
2,nan,nan,nan
3,nan,nan,nan
4,nan,nan,nan
5,nan,nan,nan
6,nan,nan,nan
7,nan,nan,nan
8,nan,nan,nan
9,nan,nan,nan
10,nan,nan,nan
11,nan,nan,nan
12,nan,nan,nan
13,nan,nan,nan
14,nan,nan,nan
15,nan,nan,nan
16,nan,nan,nan
17,nan,nan,nan
18,nan,nan,nan
19,nan,nan,nan
20,nan,nan,nan
21,nan,nan,nan
22,nan,nan,nan
23,nan,nan,nan
24,nan,nan,nan
25,nan,nan,nan
26,nan,nan,nan
27,nan,nan,nan
28,nan,nan,nan
